symbol;company;purpose;bm_desc;date
3MINDIA;3M India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;06-Aug-2024
AAKASH;Aakash Exploration Services Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;06-Aug-2024
AKSHOPTFBR;Aksh Optifibre Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
ANZEN;Anzen India Energy Yield Plus Trust;Other business matters;To inter alia consider and approve the following:i. Unaudited Standalone Financial Information and Consolidated Financial Information of Anzen for the quarter ended June 30, 2024, andii. Declaration of Distribution to unitholders of Anzen for the quarter ended June 30, 2024.;06-Aug-2024
ASAL;Automotive Stampings and Assemblies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
ASIANTILES;Asian Granito India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
AXISCADES;AXISCADES Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
BAJAJELEC;Bajaj Electricals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
BANSWRAS;Banswara Syntex Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
BATAINDIA;Bata India Limited;Financial Results/Dividend;Bata India Limited has informed about Board Meeting to be held on August 6, 2024 to consider and approve the Unaudited (Standalone and Consolidated) Financial Results of the Company for the quarter ended June 30, 2024 and consider declaration of Interim Dividend, if any, on Equity Shares of the Company for the current financial year ending March 31, 2025;06-Aug-2024
BLUEJET;Blue Jet Healthcare Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
BLUESTARCO;Blue Star Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
BLUESTARCO;Blue Star Limited;Other business matters;Update on Board Meeting;06-Aug-2024
BOSCHLTD;Bosch Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;06-Aug-2024
CHAMBLFERT;Chambal Fertilizers & Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;06-Aug-2024
CLSEL;Chaman Lal Setia Exports Limited;Financial Results/Buyback;To consider and approve the financial results for the period ended Jun 30, 2024 and buyback for equity shares;06-Aug-2024
