symbol;company;purpose;bm_desc;date
ACI;Archean Chemical Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
ACLGATI;Allcargo Gati Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
ADORWELD;Ador Welding Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
AEROFLEX;Aeroflex Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
AKSHARCHEM;AksharChem India Limited;Financial Results;To consider, approve and take on record the unaudited financial results for the quarter ended Jun 30, 2024;02-Aug-2024
APTECHT;Aptech Limited;Financial Results;Intimation of the Board Meeting pursuant to Regulation 29 of the SEBI (ListingObligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulation );02-Aug-2024
BALAXI;BALAXI PHARMACEUTICALS LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
BBOX;Black Box Limited;Fund Raising;To consider Fund Raising;02-Aug-2024
BECTORFOOD;Mrs. Bectors Food Specialities Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
BHAGCHEM;Bhagiradha Chemicals & Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
BRITANNIA;Britannia Industries Limited;Financial Results;To consider and approve the financial results for the period ended June 30, 2024;02-Aug-2024
CAMS;Computer Age Management Services Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;02-Aug-2024
CELEBRITY;Celebrity Fashions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
CORALFINAC;Coral India Finance & Housing Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
DALMIASUG;Dalmia Bharat Sugar and Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
DELHIVERY;Delhivery Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
DHAMPURSUG;Dhampur Sugar Mills Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
DHANUKA;Dhanuka Agritech Limited;Buyback;To consider buyback for equity shares;02-Aug-2024
DHANUKA;Dhanuka Agritech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
DOLPHIN;Dolphin Offshore Enterprises (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
DPSCLTD;DPSC Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
EDELWEISS;Edelweiss Financial Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
EMBDL;Equinox India Developments Limited;Fund Raising;Pursuant to Regulation 29(1)(d) and 29(2) of the SEBI Listing Regulations, this is to inform you that a meeting of the Board s constituted committee of Equinox India Developments Limited (the  Company ) is scheduled to be held on Friday, August 2, 2024, inter alia, to consider and approve raising of funds through the issuance of any kind(s) of debt securities, in one or more tranches, as may be considered appropriate, subject to the regulatory and/or statutory approvals, as applicable.;02-Aug-2024
ERIS;Eris Lifesciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
FOCUS;Focus Lighting and Fixtures Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;02-Aug-2024
GEEKAYWIRE;Geekay Wires Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
GILLANDERS;Gillanders Arbuthnot & Company Limited;Financial Results;To consider and approve the unaudited standalone and consolidated financial results for the period ended Jun 30, 2024;02-Aug-2024
GLAXO;GlaxoSmithKline Pharmaceuticals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
GLOBAL;Global Education Limited;Other business matters;To consider other business matters;02-Aug-2024
GRPLTD;GRP Limited;Financial Results;To consider and approve the unaudited financial results for the quarter ended Jun 30, 2024;02-Aug-2024
HESTERBIO;Hester Biosciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
HINDZINC;Hindustan Zinc Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
IDFC;IDFC Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
IEL;Indiabulls Enterprises Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
INFIBEAM;Infibeam Avenues Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
IONEXCHANG;ION Exchange (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
IPL;India Pesticides Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
IRISDOREME;Iris Clothings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
KIRLOSBROS;Kirloskar Brothers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
KOTARISUG;Kothari Sugars And Chemicals Limited;Financial Results;Inter alia to consider and approve the Unaudited Financial Results of the Company for the quarter ended 30.06.2024.;02-Aug-2024
LICHSGFIN;LIC Housing Finance Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
MEDPLUS;Medplus Health Services Limited;Financial Results;To consider and approve the Un-audited Standalone andConsolidated Financial Results of the Company for the quarter ended June 30, 2024 and Trading Window Closure under SEBI (Prohibition of Insider Trading)Regulations, 2015;02-Aug-2024
MOLDTECH;Mold-Tek Technologies Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;02-Aug-2024
MOLDTKPAC;Mold-Tek Packaging Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;02-Aug-2024
MOTHERSON;Samvardhana Motherson International Limited;Fund Raising;To consider Fund Raising;02-Aug-2024
MRO-TEK;MRO-TEK Realty Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
NESCO;Nesco Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
NH;Narayana Hrudayalaya Ltd.;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
NIITLTD;NIIT Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;02-Aug-2024
NKIND;NK Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
PREMIERPOL;Premier Polyfilm Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;02-Aug-2024
PSPPROJECT;PSP Projects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
RAMRAT;Ram Ratna Wires Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
RANEHOLDIN;Rane Holdings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;02-Aug-2024
