symbol;company;purpose;bm_desc;date
ACC;ACC Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;29-Jul-2024
AFIL;Akme Fintrade (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024.To Take note of Resignation of Mr. Shiv Prakash Shrimali (DIN: 09188385) from the Post of Non-Executive Director of the Company.To Appoint Mr. Shiv Prakash Shrimali as the Chief Operating Officer (COO) of the Company.;29-Jul-2024
AGI;AGI Greenpac Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;29-Jul-2024
APOLLOPIPE;Apollo Pipes Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024.;29-Jul-2024
ARVIND;Arvind Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;29-Jul-2024
ASKAUTOLTD;ASK Automotive Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;29-Jul-2024
ASTEC;Astec LifeSciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;29-Jul-2024
ATGL;Adani Total Gas Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;29-Jul-2024
AWL;Adani Wilmar Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;29-Jul-2024
BALMLAWRIE;Balmer Lawrie & Company Limited;Financial Results/Other business matters;In terms of Regulation 29 of the Securities and Exchange Board of India  ( SEBI ) (Listing Obligations and Disclosure Requirements) Regulations, 2015, ( Listing Regulations ),  it is hereby informed that a Meeting of the Board of Directors of the Company is scheduled to be held on Monday, 29th July, 2024 to, inter-alia, consider the approval of Unaudited Financial Results (both Standalone and Consolidated) of the first quarter of the Financial Year 2024-25 ended on 30th June, 2024 (subject to prior review by the Audit Committee of the Company).Further to our intimation dated 26th June, 2024, it may be noted that as per the Company s  Code of Conduct to Regulate, Monitor and Report Trading by Designated Persons and Immediate Relative of Designated Persons , framed pursuant to the provisions of SEBI (Prohibition of Insider Trading) Regulations, 2015, (as amended), the  Trading Window  of the Company which has already been closed for  Designated Persons and their immediate relatives  and  Insider  w.e.f. Monday, 1st July, 2024 shall continue to remain closed till 48 hours after the declaration of the aforementioned Financial Results.;29-Jul-2024
