symbol;company;purpose;bm_desc;date
ABDL;Allied Blenders and Distillers Limited;Financial Results;To consider and approve the financial results for the period ended March 31, 2024;22-Jul-2024
CIGNITITEC;Cigniti Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
COFORGE;Coforge Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and interim dividend (if approved);22-Jul-2024
DGCONTENT;Digicontent Limited;Financial Results;Please note that meeting of the Board of Directors of the Company will be held on Monday, the 22nd July, 2024, to inter-alia, consider and approve the Un-Audited Financial Results (Standalone & Consolidated) of the Company for the quarter ended on 30th June, 2024.;22-Jul-2024
DHARSUGAR;Dharani Sugars & Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended March 31, 2024;22-Jul-2024
DODLA;Dodla Dairy Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
GREENLAM;Greenlam Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
IDBI;IDBI Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
JSFB;Jana Small Finance Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
MAHLOG;Mahindra Logistics Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended June 30, 2024 and other business matters, in compliance with Regulation 29 and other applicable provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform you that a Meeting of the Board of Directors of Mahindra Logistics Limited ( the Company ) is scheduled to be held on Monday, 22 July 2024 to inter alia, consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the first quarter ended 30 June 2024, which shall be subject to limited review by the Statutory Auditor of the Company. Detailed disclosure in this regard is attached.;22-Jul-2024
MAHSCOOTER;Maharashtra Scooters Limited;Financial Results;To consider and approve the Unaudited Financial Results for the quarter ending 30 June 2024;22-Jul-2024
MMP;MMP Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;22-Jul-2024
MRPL;Mangalore Refinery and Petrochemicals Limited;Financial Results;To consider and approve the Standalone and Consolidated Unaudited Financial Results for the first quarter ended June 30, 2024.;22-Jul-2024
NITINSPIN;Nitin Spinners Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
NRL;Nupur Recyclers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
OSIAHYPER;Osia Hyper Retail Limited;Other business matters;Intimation of Appointment of M/s. SCS AND CO. LLP as the Secretarial Auditor of the Company.;22-Jul-2024
PKTEA;The Peria Karamalai Tea & Produce Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
POCL;Pondy Oxides & Chemicals Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;22-Jul-2024
POLYMED;Poly Medicure Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;22-Jul-2024
RBL;Rane Brake Lining Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
SHREMINVIT;Shrem Invit;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and Distribution;22-Jul-2024
SOLARA;Solara Active Pharma Sciences Limited;Financial Results;To consider and approve the unaudited financial results for the period ended June 30, 2024;22-Jul-2024
SPENCERS;Spencer's Retail Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
SUPREMEIND;Supreme Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
SUZLON;Suzlon Energy Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
UCOBANK;UCO Bank;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
WENDT;Wendt (India) Limited;Financial Results;To consider and approve the unaudited financial results for the quarter ended Jun 30, 2024;22-Jul-2024
ZFCVINDIA;ZF Commercial Vehicle Control Systems India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;22-Jul-2024
