symbol;company;purpose;bm_desc;date
ABDL;Allied Blenders and Distillers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ABHISHEK;Abhishek Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
AHLUCONT;Ahluwalia Contracts (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
AHLUCONT;Ahluwalia Contracts (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ALLCARGO;Allcargo Logistics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ALPA;Alpa Laboratories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
AMRUTANJAN;Amrutanjan Health Care Limited;Financial Results;To consider and approve the Un-Audited financial results for the period ended Jun 30, 2024;13-Aug-2024
ANIKINDS;Anik Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;13-Aug-2024
ANURAS;Anupam Rasayan India Limited;Financial Results;To consider and approve the Unaudited Financial Results (Standalone & Consolidated) for the quarter ended June 30, 2024;13-Aug-2024
APOLLOHOSP;Apollo Hospitals Enterprise Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;13-Aug-2024
APOLSINHOT;Apollo Sindoori Hotels Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ARCHIDPLY;Archidply Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ARCOTECH;Arcotech Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;13-Aug-2024
ARIES;Aries Agro Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ARSSINFRA;ARSS Infrastructure Projects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ARVEE;Arvee Laboratories (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ASHAPURMIN;Ashapura Minechem Limited;Financial Results/Other business matters;To consider and approve the unaudited financial results for the period ended Jun 30, 2024 and other business matters;13-Aug-2024
ASHOKA;Ashoka Buildcon Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ASTRAMICRO;Astra Microwave Products Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
ATCOM;Atcom Technologies Limited;Financial Results;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024;13-Aug-2024
AWFIS;Awfis Space Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
BAFNAPH;Bafna Pharmaceuticals Limited;Financial Results;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024;13-Aug-2024
BAIDFIN;Baid Finserv Limited;Financial Results;Pursuant to Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby intimate that a meeting of the Board of Directors of the Company will be held on Tuesday, August 13, 2024 at 03:00 P.M. at the registered office of the Company situated at  Baid House , IInd Floor, 1, Tara Nagar, Ajmer Road, Jaipur 302006 (Rajasthan) inter alia to consider and approve the Un-Audited Financial Results of the Company for the Quarter ended on June 30, 2024 and to take on record Limited Review Report thereon.;13-Aug-2024
BANKA;Banka BioLoo Limited;Financial Results/Other business matters;To consider and approve the financial results (standalone and consolidated) for the period ended 30 June 2024 and other business matters;13-Aug-2024
BBOX;Black Box Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;13-Aug-2024
BIGBLOC;Bigbloc Construction Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
BINANIIND;Binani Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
BIOFILCHEM;Biofil Chemicals & Pharmaceuticals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
BLUECHIP;Blue Chip India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;13-Aug-2024
