symbol;company;purpose;bm_desc;date
BALPHARMA;Bal Pharma Limited;Other business matters;1.Allotment of Equity Shares to the employees of the Company upon conversion of stock options vested on them.2. To consider expanding its manufacturing presence to  meet the growing demand for Active Pharma Ingredients ( API's)3.Any other matter incidental to the business operations and ensuing Annual General Meeting of the Company.;09-Sep-2024
PNBHOUSING;PNB Housing Finance Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;09-Sep-2024
SEMAC;SEMAC CONSULTANTS LIMITED;Fund Raising;To consider Fund Raising;09-Sep-2024
SSDL;Saraswati Saree Depot Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;09-Sep-2024
SUNDARAM;Sundaram Multi Pap Limited;Other business matters;To consider other business matters;09-Sep-2024
SUPREMEENG;Supreme Engineering Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;09-Sep-2024
TEMBO;Tembo Global Industries Limited;Fund Raising;To consider Fund Raising;09-Sep-2024
VIDEOIND;Videocon Industries Limited;Financial Results;To consider and approve the financial results for the period ended December 31, 2023;09-Sep-2024
VIDEOIND;Videocon Industries Limited;Financial Results;To consider and approve the financial results for the period ended September 30, 2023;09-Sep-2024
VIDEOIND;Videocon Industries Limited;Financial Results;To consider and approve the financial results for the period ended March 31, 2024;09-Sep-2024
VIDEOIND;Videocon Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2023;09-Sep-2024
VISHWARAJ;Vishwaraj Sugar Industries Limited;Other business matters;"To consider other business mattersIn terms of Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that an urgent meeting of the Board of Directors of the Company is scheduled to be held on Monday, September 09, 2024, inter-alia:i. To consider and approve day, date, for Issue opening and Price of QIP;ii. To approve and finalize the confirmation of allocation note to be sent to the eligible qualified institutional buyers, intimating them of allocation of Equity Shares pursuant to the Issue;iii. To consider and approve the placement document.";09-Sep-2024
