symbol;company;purpose;bm_desc;date
AARTIPHARM;Aarti Pharmalabs Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;05-Aug-2024
ABAN;Aban Offshore Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
AMJLAND;Amj Land Holdings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
ANDHRAPAP;ANDHRA PAPER LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
AVANTIFEED;Avanti Feeds Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
BEML;BEML Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
BHARTIARTL;Bharti Airtel Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
BHARTIHEXA;Bharti Hexacom Limited;Financial Results;To consider and approve the financial results for the period ended June 30, 2024;05-Aug-2024
BLS;BLS International Services Limited;Financial Results/Fund Raising;Pursuant to the provisions of Regulations 29 of the SEBI (Listing Obligations & Disclosure Requirements) Regulations,2015, we hereby inform you that a meeting of the Board of Directors of the Company will be held on Monday,August 05, 2024, inter alia, to consider the following items:a. To consider and approve the Un-audited Standalone and Consolidated Financial Results of the Company for thefirst quarter ended on June 30, 2024, along with Limited Review Audit Report of the Statutory Auditors thereonb. To consider the raising of fund by issue of equity shares or any other securities convertible into equity shares ora combination of such securities by way of Further Public Offer, Rights Issue, American DepositoryReceipts/Global Depository Receipts, Foreign Currency Convertible Bonds, Qualified Institutions Placement,Preferential Issue or any other method as may be permitted under applicable laws, subject to approval ofshareholders of the Company and/or any regulatory/statutory approvals, if any.c. Any other matter;05-Aug-2024
BLSE;BLS E-Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
BRIGADE;Brigade Enterprises Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
BSL;BSL Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
CENTENKA;Century Enka Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;05-Aug-2024
CENTURYPLY;Century Plyboards (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;05-Aug-2024
CERA;Cera Sanitaryware Limited;Buyback;Board Meeting Intimation for Consider The Proposal Of Buyback Of Equity Shares Of The Company;05-Aug-2024
